             #EP            ;#LOSS            ;#PROB             ;#VAL           ;#C_Val         ;#TEST_MU        ;#TEST_STD        ;#TEST_GAP
0;1.14           0.;0541            -3;5.6            ;208;-23;    7.15         ;-384
1;1.02           0.;0525            -3;5.6            ;199;  -32.8         ;    10.3         ;-135
2;1.13           0.;0553            -3;6.1            ;205;  -41.5         ;    6.98         ;85
3;1.14           0.;0529            -3;5.9            ;151;  -43.7         ;    5.05         ;151
4;1.24           0.;548;-36           0;.0864          ;  -43.7         ;    4.27         ;147
5;1.14           0.;0526            -3;6.6            ;231;  -43.8         ;     5.6         ;157
6;1.02           0.;0544            -3;5.9            ;205;  -43.1         ;    5.31         ;134
               7           0;.984           0.;0539            -3;6.3            ;232;-44;    5.97         ;155
8;1.11            0;.055            -3;6.5            ; 0.25          ;  -43.4         ;    4.61         ;142
9;1.16           0.;0508            -3;5.7            ;147;  -43.6         ;    5.85         ;153